,Case,Date,Site,Lat,Long,Protected,Color,Count,Count.Duration,Count.Per.10million,School
148,148,4/1/2013,Pillar Point,37.503,122.4823,y,Purple,39,28,0.1,UCSC
149,149,8/6/2013,Natural Bridges,36.9502,122.0576,y,Orange,19,45,0,Piedmont High School
150,150,8/6/2013,Natural Bridges,36.9502,122.0576,y,Purple,100,45,0.23,Piedmont High School
151,151,8/7/2013,Davenport Landing,37.2364,86.92,n,Purple,10,5,0.02,Camp SEA Lab
152,152,8/7/2013,Davenport Landing,37.2364,86.92,n,Orange,1,5,0.04,Camp SEA Lab
153,153,10/17/2013,Pillar Point,37.503,122.4823,y,Orange,0,36,0.07,UCSC
154,154,10/17/2013,Pillar Point,37.503,122.4823,y,Purple,3,36,0.06,UCSC
155,155,10/18/2013,Natural Bridges,36.9502,122.0576,y,Orange,1,75,0,Farallones Marine Sanctuary Association
156,156,10/18/2013,Natural Bridges,36.9502,122.0576,y,Orange,2,60,0,Farallones Marine Sanctuary Association
157,157,10/18/2013,Natural Bridges,36.9502,122.0576,y,Purple,4,60,0.15,UCSC
158,158,10/18/2013,Natural Bridges,36.9502,122.0576,y,Purple,3,75,0.15,UCSC
159,159,10/20/2013,Davenport Landing,37.2364,86.92,n,Purple,0,15,0,UCSC
160,160,10/20/2013,Davenport Landing,37.2364,86.92,n,Orange,0,15,0,UCSC
161,161,11/2/2013,Pillar Point,37.503,122.4823,y,Orange,2,30,0.3,UCSC
162,162,11/2/2014,Pillar Point,37.503,122.4823,y,Purple,2,30,0.3,UCSC
163,163,1/27/2014,Davenport Landing,37.2364,86.92,n,Purple,0,15,0,James Logan High School
164,164,1/27/2014,Davenport Landing,37.2364,86.92,n,Purple,0,15,0,James Logan High School
165,165,1/27/2014,Davenport Landing,37.2364,86.92,n,Orange,0,15,0,UCSC
166,166,1/27/2014,Davenport Landing,37.2364,86.92,n,Orange,0,15,0,Pacific Grove Museum of Natural History
167,167,2/24/2014,Pigeon Point,37.1829,122.3928,n,Orange,0,7,0,Pacific Grove Museum of Natural History
168,168,2/24/2014,Pigeon Point,37.1829,122.3928,n,Purple,0,7,0,UCSC
169,169,2/24/2014,Pigeon Point,37.1829,122.3928,n,Orange,0,7,0,Farallones Marine Sanctuary Association
170,170,2/24/2014,Pigeon Point,37.1829,122.3928,n,Purple,0,7,0,FMSA LiMPETS Teacher Workshop
171,171,2/27/2014,Pillar Point,37.503,122.4823,y,Orange,0,45,0,Farallones Marine Sanctuary Association
172,172,2/27/2014,Pillar Point,37.503,122.4823,y,Orange,0,45,0,FMSA LiMPETS Teacher Workshop
173,173,2/27/2014,Pillar Point,37.503,122.4823,y,Purple,5,45,0.38,Farallones Marine Sanctuary Association
174,174,2/27/2014,Pillar Point,37.503,122.4823,y,Orange,5,45,0.38,FMSA LiMPETS Teacher Workshop
175,175,4/22/2014,Natural Bridges,36.9502,122.0576,y,Orange,1,12,0.02,Farallones Marine Sanctuary Association
